,count,unique,top,freq
1770,145.0,38.0,0.0,71.0
1771,143.0,36.0,0.0,71.0
1772,144.0,38.0,0.0,67.0
1773,149.0,41.0,0.0,63.0
1774,141.0,37.0,0.0,67.0
1776,144.0,38.0,0.0,67.0
1777,148.0,38.0,0.0,69.0
1778,142.0,35.0,0.0,71.0
1780,145.0,35.0,0.0,67.0
1782,140.0,33.0,0.0,71.0
1789,148.0,39.0,0.0,68.0
1791,146.0,36.0,0.0,69.0
1800,143.0,33.0,0.0,74.0
1802,144.0,36.0,0.0,67.0
1804,139.0,32.0,0.0,74.0
1809,152.0,42.0,0.0,72.0
1810,141.0,35.0,0.0,71.0
1812,145.0,37.0,0.0,66.0
1817,142.0,37.0,0.0,68.0
1819,147.0,39.0,0.0,70.0
